schema_version,simulator_version,evidence_class,arm,profile,placement,utilization_percent,source_symbols,frontier_index,selected_for_comparison,stripe_count,completion_budget_ns,estimated_completion_ns,estimated_payload_egress_nano_usd,candidate_tree_count,evaluated_assignment_count,tree0_relay_a,tree0_relay_b,tree1_relay_a,tree1_relay_b,tree0_stripes,tree1_stripes,tree0_source_symbols,tree1_source_symbols,stripe_tree_ids
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,Cloudcast POLICY on wansim transport,digitalocean-like,west-origin,30,8192,0,true,8,152292288,152292288,166461,20,3460,nyc3,tor1,lon1,fra1,4,4,4096,4096,0;0;0;0;1;1;1;1
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,Cloudcast POLICY on wansim transport,digitalocean-like,west-origin,30,8192,1,false,8,201450515,201450515,124846,20,3460,nyc3,tor1,nyc3,fra1,0,8,0,8192,1;1;1;1;1;1;1;1
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,Cloudcast POLICY on wansim transport,digitalocean-like,west-origin,70,8192,0,true,8,188358934,188358934,166461,20,3460,nyc3,tor1,lon1,fra1,4,4,4096,4096,0;0;0;0;1;1;1;1
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,Cloudcast POLICY on wansim transport,digitalocean-like,west-origin,70,8192,1,false,8,243358934,243358934,145653,20,3460,nyc3,sgp1,lon1,fra1,4,4,4096,4096,0;0;0;0;1;1;1;1
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,Cloudcast POLICY on wansim transport,digitalocean-like,west-origin,70,8192,2,false,8,260698667,260698667,140451,20,3460,nyc3,sgp1,lon1,fra1,5,3,5120,3072,0;0;0;0;0;1;1;1
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,Cloudcast POLICY on wansim transport,digitalocean-like,west-origin,70,8192,3,false,8,278038400,278038400,135249,20,3460,nyc3,sgp1,lon1,fra1,6,2,6144,2048,0;0;0;0;0;0;1;1
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,Cloudcast POLICY on wansim transport,digitalocean-like,west-origin,70,8192,4,false,8,280717867,280717867,124846,20,3460,nyc3,tor1,nyc3,fra1,0,8,0,8192,1;1;1;1;1;1;1;1
