schema_version,simulator_version,evidence_class,overlap_percent,serial_bottleneck_stages,shared_stages,private_stages,aggregate_capacity_per_stage_bps,aggregate_capacity_all_serial_stages_bps,foreground_tcp_connections,explicit_background_tcp_flows,directional_active_flow_count,flows_per_shared_server,flows_per_private_lane_server,best_single_uses_existing_second_connection
1,0.1.0,model-level causal evidence; not a WAN measurement,0,4,0,4,160000000,640000000,2,8,10,10,5,true
1,0.1.0,model-level causal evidence; not a WAN measurement,25,4,1,3,160000000,640000000,2,8,10,10,5,true
1,0.1.0,model-level causal evidence; not a WAN measurement,50,4,2,2,160000000,640000000,2,8,10,10,5,true
1,0.1.0,model-level causal evidence; not a WAN measurement,100,4,4,0,160000000,640000000,2,8,10,10,5,true
