schema_version,simulator_version,evidence_class,event_class,count
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,queue_drop,8939
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,runtime_command_dispatch,393260
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,runtime_command_enqueue_data,393216
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,single_worker,1
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,upstream_ack_emit,2025300
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,upstream_socket_read,1610731
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,wr_backbone_exit,5470211
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,wr_concurrent_sessions,1
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,wr_resource_queue_high_water,34002
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,wr_resource_sample,38400
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,wr_tree_rate_sample,4800
