schema_version,simulator_version,evidence_class,bucket_start_ns,bucket_end_ns,source_emissions,slow_receiver_data_frame_arrivals,slow_receiver_inbox_accepts,slow_receiver_inbox_drops,slow_receiver_decoder_completions,innovative_rank_advance,rank_at_bucket_end,quantized_receiver_watermark_at_bucket_end,block_ack_emissions,sender_ack_joins,sender_progress_joins,sender_joined_watermark_at_bucket_end,last_ack_seen_ns,last_ack_progress_ns,silence_clock_age_ns,progress_clock_age_ns,stall_budget_remaining_ns,liveness_abort
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,7250000000,7500000000,0,1252,258,994,250,250,5513,324,27,29,15,322,7495950822,7495950822,4049178,4049178,14995950822,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,7500000000,7750000000,0,1262,255,1007,250,250,5763,339,28,28,15,337,7746191724,7746191724,3808276,3808276,14996191724,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,7750000000,8000000000,0,1270,259,1011,250,250,6013,353,28,28,15,352,7997752846,7997752846,2247154,2247154,14997752846,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,8000000000,8250000000,0,1279,257,1022,250,250,6263,368,28,27,14,366,8244266894,8244266894,5733106,5733106,14994266894,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,8250000000,8500000000,0,1288,262,1026,250,250,6513,383,27,28,15,381,8497417528,8497417528,2582472,2582472,14997417528,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,8500000000,8750000000,0,1280,253,1027,250,250,6763,397,28,28,14,395,8745425866,8737492538,4574134,12507462,14987492538,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,8750000000,9000000000,0,168,75,93,204,204,6967,409,24,27,14,409,8988826559,8970563230,11173441,29436770,14970563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,9000000000,9250000000,0,0,0,0,0,0,6967,409,0,0,0,409,8988826559,8970563230,261173441,279436770,14720563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,9250000000,9500000000,0,0,0,0,0,0,6967,409,2,2,0,409,9299394315,8970563230,200605685,529436770,14470563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,9500000000,9750000000,0,0,0,0,0,0,6967,409,2,2,0,409,9607493636,8970563230,142506364,779436770,14220563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,9750000000,10000000000,0,0,0,0,0,0,6967,409,2,2,0,409,9919312191,8970563230,80687809,1029436770,13970563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,10000000000,10250000000,0,0,0,0,0,0,6967,409,2,2,0,409,10233962444,8970563230,16037556,1279436770,13720563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,10250000000,10500000000,0,0,0,0,0,0,6967,409,1,1,0,409,10489047218,8970563230,10952782,1529436770,13470563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,10500000000,10750000000,0,0,0,0,0,0,6967,409,1,1,0,409,10546310239,8970563230,203689761,1779436770,13220563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,10750000000,11000000000,0,0,0,0,0,0,6967,409,1,1,0,409,10789176275,8970563230,210823725,2029436770,12970563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,11000000000,11250000000,0,0,0,0,0,0,6967,409,2,2,0,409,11096722441,8970563230,153277559,2279436770,12720563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,11250000000,11500000000,0,0,0,0,0,0,6967,409,2,2,0,409,11412698373,8970563230,87301627,2529436770,12470563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,11500000000,11750000000,0,0,0,0,0,0,6967,409,2,2,0,409,11728005961,8970563230,21994039,2779436770,12220563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,11750000000,12000000000,0,0,0,0,0,0,6967,409,1,1,0,409,11987751289,8970563230,12248711,3029436770,11970563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,12000000000,12250000000,0,0,0,0,0,0,6967,409,1,1,0,409,12039166672,8970563230,210833328,3279436770,11720563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,12250000000,12500000000,0,0,0,0,0,0,6967,409,2,2,0,409,12357535782,8970563230,142464218,3529436770,11470563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,12500000000,12750000000,0,0,0,0,0,0,6967,409,1,1,0,409,12588873436,8970563230,161126564,3779436770,11220563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,12750000000,13000000000,0,0,0,0,0,0,6967,409,2,2,0,409,12898411887,8970563230,101588113,4029436770,10970563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,13000000000,13250000000,0,0,0,0,0,0,6967,409,2,2,0,409,13209325859,8970563230,40674141,4279436770,10720563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,13250000000,13500000000,0,0,0,0,0,0,6967,409,2,1,0,409,13487772033,8970563230,12227967,4529436770,10470563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,13500000000,13750000000,0,0,0,0,0,0,6967,409,0,1,0,409,13528087946,8970563230,221912054,4779436770,10220563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,13750000000,14000000000,0,0,0,0,0,0,6967,409,2,2,0,409,13838045845,8970563230,161954155,5029436770,9970563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,14000000000,14250000000,0,0,0,0,0,0,6967,409,2,2,0,409,14150949789,8970563230,99050211,5279436770,9720563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,14250000000,14500000000,0,0,0,0,0,0,6967,409,1,1,0,409,14387652960,8970563230,112347040,5529436770,9470563230,false
