research_scope,phase,source_count,production_symbol_bytes,trials,c_wire_num,c_wire_den,c_reserve_num,c_reserve_den,channel,stationary_erasure_probability,interior_c_num,interior_c_den,wire_bin_count,reserve_cardinality,terminal_bin_count,actual_wire_overhead,actual_total_overhead,initial_completions,initial_completion_probability,final_completions,completion_probability,cp95_lower,cp95_upper,repair_successes,mean_repair_emissions,p95_repair_emissions,mean_reserve_emissions,mean_reserve_losses,duplicate_transmissions,sender_reserve_payload_bytes,sender_reserve_budget_bytes,budget_pass
BEYOND the METTLE paper,grid,8192,1400,512,1,100,7,100,ge-short-1.089pct,0.010891089,1679,40000,8274,574,8848,0.010009766,0.080078125,0,0.000000000,261,0.509765625,0.465538845,0.553879055,261,384.605364,553,477.453125,5.320312,0,803600,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,100,7,100,ge-long-1.089pct,0.010891089,1679,40000,8274,574,8848,0.010009766,0.080078125,63,0.123046875,288,0.562500000,0.518296901,0.605977502,225,152.724444,470,318.240234,4.015625,0,803600,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,50,3,100,bec-0.1pct,0.001000000,1621,125000,8356,246,8602,0.020019531,0.050048828,168,0.328125000,482,0.941406250,0.917407606,0.960121580,314,89.277070,220,69.166016,0.062500,0,344400,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,50,3,100,bec-0.5pct,0.005000000,1621,125000,8356,246,8602,0.020019531,0.050048828,0,0.000000000,99,0.193359375,0.160027307,0.230277214,99,191.959596,245,235.550781,1.166016,0,344400,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,50,3,100,bec-1.0pct,0.010000000,1621,125000,8356,246,8602,0.020019531,0.050048828,0,0.000000000,0,0.000000000,0.000000000,0.007178950,0,0.000000,0,246.000000,2.349609,0,344400,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,50,3,100,bec-1.5pct,0.015000000,1621,125000,8356,246,8602,0.020019531,0.050048828,0,0.000000000,0,0.000000000,0.000000000,0.007178950,0,0.000000,0,246.000000,3.541016,0,344400,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,50,3,100,bec-2.0pct,0.020000000,1621,125000,8356,246,8602,0.020019531,0.050048828,0,0.000000000,0,0.000000000,0.000000000,0.007178950,0,0.000000,0,246.000000,4.824219,0,344400,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,50,3,100,ge-short-1.089pct,0.010891089,1621,125000,8356,246,8602,0.020019531,0.050048828,0,0.000000000,14,0.027343750,0.015027969,0.045452911,14,139.571429,240,243.089844,2.539062,0,344400,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,50,3,100,ge-long-1.089pct,0.010891089,1621,125000,8356,246,8602,0.020019531,0.050048828,78,0.152343750,243,0.474609375,0.430634014,0.518879455,165,98.715152,219,161.058594,1.419922,0,344400,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,50,1,20,bec-0.1pct,0.001000000,16153,500000,8356,410,8766,0.020019531,0.070068359,334,0.652343750,512,1.000000000,0.992821050,1.000000000,178,68.348315,216,23.761719,0.015625,0,574000,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,50,1,20,bec-0.5pct,0.005000000,16153,500000,8356,410,8766,0.020019531,0.070068359,9,0.017578125,511,0.998046875,0.989166343,0.999950552,502,149.386454,277,147.269531,0.783203,0,574000,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,50,1,20,bec-1.0pct,0.010000000,16153,500000,8356,410,8766,0.020019531,0.070068359,0,0.000000000,461,0.900390625,0.871114815,0.924932318,461,281.045553,387,293.890625,2.816406,0,574000,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,50,1,20,bec-1.5pct,0.015000000,16153,500000,8356,410,8766,0.020019531,0.070068359,0,0.000000000,199,0.388671875,0.346221962,0.432414908,199,352.115578,406,387.501953,5.636719,0,574000,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,50,1,20,bec-2.0pct,0.020000000,16153,500000,8356,410,8766,0.020019531,0.070068359,0,0.000000000,12,0.023437500,0.012167791,0.040582439,12,385.916667,406,409.435547,8.101562,0,574000,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,50,1,20,ge-short-1.089pct,0.010891089,16153,500000,8356,410,8766,0.020019531,0.070068359,2,0.003906250,156,0.304687500,0.265069190,0.346578309,154,263.194805,402,364.242188,3.902344,0,574000,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,50,1,20,ge-long-1.089pct,0.010891089,16153,500000,8356,410,8766,0.020019531,0.070068359,151,0.294921875,272,0.531250000,0.486974563,0.575162699,121,132.669421,373,223.541016,2.029297,0,574000,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,50,7,100,bec-0.1pct,0.001000000,51643,1000000,8356,574,8930,0.020019531,0.090087891,390,0.761718750,512,1.000000000,0.992821050,1.000000000,122,76.442623,237,18.214844,0.031250,0,803600,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,50,7,100,bec-0.5pct,0.005000000,51643,1000000,8356,574,8930,0.020019531,0.090087891,15,0.029296875,512,1.000000000,0.992821050,1.000000000,497,128.239437,312,124.482422,0.644531,0,803600,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,50,7,100,bec-1.0pct,0.010000000,51643,1000000,8356,574,8930,0.020019531,0.090087891,0,0.000000000,512,1.000000000,0.992821050,1.000000000,512,242.296875,394,242.296875,2.285156,0,803600,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,50,7,100,bec-1.5pct,0.015000000,51643,1000000,8356,574,8930,0.020019531,0.090087891,0,0.000000000,512,1.000000000,0.992821050,1.000000000,512,337.978516,470,337.978516,4.947266,0,803600,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,50,7,100,bec-2.0pct,0.020000000,51643,1000000,8356,574,8930,0.020019531,0.090087891,0,0.000000000,472,0.921875000,0.895133643,0.943602204,472,424.815678,540,436.470703,8.664062,0,803600,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,50,7,100,ge-short-1.089pct,0.010891089,51643,1000000,8356,574,8930,0.020019531,0.090087891,5,0.009765625,365,0.712890625,0.671574388,0.751728525,360,343.327778,545,406.203125,4.507812,0,803600,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,50,7,100,ge-long-1.089pct,0.010891089,51643,1000000,8356,574,8930,0.020019531,0.090087891,167,0.326171875,297,0.580078125,0.535991209,0.623235234,130,229.623077,508,299.337891,3.404297,0,803600,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,25,3,100,bec-0.1pct,0.001000000,16153,500000,8520,246,8766,0.040039062,0.070068359,500,0.976562500,512,1.000000000,0.992821050,1.000000000,12,64.416667,132,1.509766,0.000000,0,344400,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,25,3,100,bec-0.5pct,0.005000000,16153,500000,8520,246,8766,0.040039062,0.070068359,319,0.623046875,511,0.998046875,0.989166343,0.999950552,192,62.557292,163,23.939453,0.105469,0,344400,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,25,3,100,bec-1.0pct,0.010000000,16153,500000,8520,246,8766,0.040039062,0.070068359,20,0.039062500,465,0.908203125,0.879800578,0.931771086,445,124.541573,226,130.826172,1.273438,0,344400,8388608,true
