profile,placement,resource,total_flow_directions,foreground_flow_directions,background_flow_directions
aws-like,east-origin,nic:ap-northeast-1,8,8,0
aws-like,east-origin,nic:eu-central-1,6,6,0
aws-like,east-origin,nic:eu-west-1,12,12,0
aws-like,east-origin,nic:us-east-1,32,16,16
aws-like,east-origin,nic:us-east-2,14,6,8
aws-like,east-origin,nic:us-west-2,20,12,8
aws-like,east-origin,trunk:ap-to-eu,2,2,0
aws-like,east-origin,trunk:ap-to-na-west,2,2,0
aws-like,east-origin,trunk:eu-to-ap,2,2,0
aws-like,east-origin,trunk:eu-to-na-east,3,3,0
aws-like,east-origin,trunk:eu-to-na-west,1,1,0
aws-like,east-origin,trunk:na-east-to-eu,3,3,0
aws-like,east-origin,trunk:na-east-to-na-west,10,6,4
aws-like,east-origin,trunk:na-west-to-ap,2,2,0
aws-like,east-origin,trunk:na-west-to-eu,1,1,0
aws-like,east-origin,trunk:na-west-to-na-east,10,6,4
aws-like,west-origin,nic:ap-northeast-1,8,8,0
aws-like,west-origin,nic:eu-central-1,12,12,0
aws-like,west-origin,nic:eu-west-1,6,6,0
aws-like,west-origin,nic:us-east-1,20,12,8
aws-like,west-origin,nic:us-east-2,14,6,8
aws-like,west-origin,nic:us-west-2,32,16,16
aws-like,west-origin,trunk:ap-to-eu,2,2,0
aws-like,west-origin,trunk:ap-to-na-west,2,2,0
aws-like,west-origin,trunk:eu-to-ap,2,2,0
aws-like,west-origin,trunk:eu-to-na-east,2,2,0
aws-like,west-origin,trunk:eu-to-na-west,2,2,0
aws-like,west-origin,trunk:na-east-to-eu,2,2,0
aws-like,west-origin,trunk:na-east-to-na-west,12,4,8
aws-like,west-origin,trunk:na-west-to-ap,2,2,0
aws-like,west-origin,trunk:na-west-to-eu,2,2,0
aws-like,west-origin,trunk:na-west-to-na-east,12,4,8
digitalocean-like,east-origin,nic:fra1,6,6,0
digitalocean-like,east-origin,nic:lon1,12,12,0
digitalocean-like,east-origin,nic:nyc3,32,16,16
digitalocean-like,east-origin,nic:sfo3,20,12,8
digitalocean-like,east-origin,nic:sgp1,8,8,0
digitalocean-like,east-origin,nic:tor1,14,6,8
digitalocean-like,east-origin,trunk:ap-to-eu,2,2,0
digitalocean-like,east-origin,trunk:ap-to-na-west,2,2,0
digitalocean-like,east-origin,trunk:eu-to-ap,2,2,0
digitalocean-like,east-origin,trunk:eu-to-na-east,3,3,0
digitalocean-like,east-origin,trunk:eu-to-na-west,1,1,0
digitalocean-like,east-origin,trunk:na-east-to-eu,3,3,0
digitalocean-like,east-origin,trunk:na-east-to-na-west,10,6,4
digitalocean-like,east-origin,trunk:na-west-to-ap,2,2,0
digitalocean-like,east-origin,trunk:na-west-to-eu,1,1,0
digitalocean-like,east-origin,trunk:na-west-to-na-east,10,6,4
digitalocean-like,west-origin,nic:fra1,12,12,0
digitalocean-like,west-origin,nic:lon1,6,6,0
digitalocean-like,west-origin,nic:nyc3,20,12,8
digitalocean-like,west-origin,nic:sfo3,32,16,16
digitalocean-like,west-origin,nic:sgp1,8,8,0
digitalocean-like,west-origin,nic:tor1,14,6,8
digitalocean-like,west-origin,trunk:ap-to-eu,2,2,0
digitalocean-like,west-origin,trunk:ap-to-na-west,2,2,0
digitalocean-like,west-origin,trunk:eu-to-ap,2,2,0
digitalocean-like,west-origin,trunk:eu-to-na-east,2,2,0
digitalocean-like,west-origin,trunk:eu-to-na-west,2,2,0
digitalocean-like,west-origin,trunk:na-east-to-eu,2,2,0
digitalocean-like,west-origin,trunk:na-east-to-na-west,12,4,8
digitalocean-like,west-origin,trunk:na-west-to-ap,2,2,0
digitalocean-like,west-origin,trunk:na-west-to-eu,2,2,0
digitalocean-like,west-origin,trunk:na-west-to-na-east,12,4,8
gcp-like,east-origin,nic:asia-northeast1,8,8,0
gcp-like,east-origin,nic:europe-west1,12,12,0
gcp-like,east-origin,nic:europe-west3,6,6,0
gcp-like,east-origin,nic:us-central1,14,6,8
gcp-like,east-origin,nic:us-east4,32,16,16
gcp-like,east-origin,nic:us-west1,20,12,8
gcp-like,east-origin,trunk:ap-to-eu,2,2,0
gcp-like,east-origin,trunk:ap-to-na-west,2,2,0
gcp-like,east-origin,trunk:eu-to-ap,2,2,0
gcp-like,east-origin,trunk:eu-to-na-east,3,3,0
gcp-like,east-origin,trunk:eu-to-na-west,1,1,0
gcp-like,east-origin,trunk:na-east-to-eu,3,3,0
gcp-like,east-origin,trunk:na-east-to-na-west,10,6,4
gcp-like,east-origin,trunk:na-west-to-ap,2,2,0
gcp-like,east-origin,trunk:na-west-to-eu,1,1,0
gcp-like,east-origin,trunk:na-west-to-na-east,10,6,4
gcp-like,west-origin,nic:asia-northeast1,8,8,0
gcp-like,west-origin,nic:europe-west1,6,6,0
gcp-like,west-origin,nic:europe-west3,12,12,0
gcp-like,west-origin,nic:us-central1,14,6,8
gcp-like,west-origin,nic:us-east4,20,12,8
gcp-like,west-origin,nic:us-west1,32,16,16
gcp-like,west-origin,trunk:ap-to-eu,2,2,0
gcp-like,west-origin,trunk:ap-to-na-west,2,2,0
gcp-like,west-origin,trunk:eu-to-ap,2,2,0
gcp-like,west-origin,trunk:eu-to-na-east,2,2,0
gcp-like,west-origin,trunk:eu-to-na-west,2,2,0
gcp-like,west-origin,trunk:na-east-to-eu,2,2,0
gcp-like,west-origin,trunk:na-east-to-na-west,12,4,8
gcp-like,west-origin,trunk:na-west-to-ap,2,2,0
gcp-like,west-origin,trunk:na-west-to-eu,2,2,0
gcp-like,west-origin,trunk:na-west-to-na-east,12,4,8
