research_scope,source_dof,seeds,trees,rate_profile,loss,loss_num,loss_den,receivers,feedback_rtt_ticks,striping_minus_pooling_ticks_sum,mean_striping_minus_pooling_ticks,p95_striping_minus_pooling_ticks,per_stripe_ownership_waste_sum,mean_per_stripe_ownership_waste,p95_per_stripe_ownership_waste,pearson_gap_vs_ownership_waste,per_stripe_minus_carousel_emissions_sum,mean_per_stripe_minus_carousel_emissions,pearson_gap_vs_emission_gap,rounds_minus_carousel_ticks_sum,mean_rounds_minus_carousel_ticks,p95_rounds_minus_carousel_ticks,rounds_minus_carousel_emissions_sum,mean_rounds_minus_carousel_emissions,carousel_tail_deliveries_sum,mean_carousel_tail_deliveries,carousel_tail_emissions_sum,mean_carousel_tail_emissions,mean_carousel_tail_emission_fraction
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,0,1,1,8,0,0.000000,0,0,0.000000,0,,-7168,-14.000000,,0,0.000000,0,-7168,-14.000000,7168,14.000000,7168,14.000000,0.001706069
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,0,1,1,64,0,0.000000,0,0,0.000000,0,,-64512,-126.000000,,0,0.000000,0,-64512,-126.000000,64512,126.000000,64512,126.000000,0.015147872
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,0,1,1,512,0,0.000000,0,0,0.000000,0,,-523264,-1022.000000,,0,0.000000,0,-523264,-1022.000000,523264,1022.000000,523264,1022.000000,0.110918168
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,0,1,3,8,0,0.000000,0,0,0.000000,0,,-7168,-14.000000,,0,0.000000,0,-7168,-14.000000,21504,42.000000,7168,14.000000,0.001706069
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,0,1,3,64,0,0.000000,0,0,0.000000,0,,-64512,-126.000000,,0,0.000000,0,-64512,-126.000000,193536,378.000000,64512,126.000000,0.015147872
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,0,1,3,512,0,0.000000,0,0,0.000000,0,,-523264,-1022.000000,,0,0.000000,0,-523264,-1022.000000,1569792,3066.000000,523264,1022.000000,0.110918168
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,0,1,8,8,0,0.000000,0,0,0.000000,0,,-7168,-14.000000,,0,0.000000,0,-7168,-14.000000,57344,112.000000,7168,14.000000,0.001706069
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,0,1,8,64,0,0.000000,0,0,0.000000,0,,-64512,-126.000000,,0,0.000000,0,-64512,-126.000000,516096,1008.000000,64512,126.000000,0.015147872
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,0,1,8,512,0,0.000000,0,0,0.000000,0,,-523264,-1022.000000,,0,0.000000,0,-523264,-1022.000000,4186112,8176.000000,523264,1022.000000,0.110918168
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,5,1000,1,8,1261,2.462891,6,2518,4.917969,12,0.982130255,-4885,-9.541016,0.991604532,4274,8.347656,15,-7414,-14.480469,7378,14.410156,7417,14.486328,0.001756438
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,5,1000,1,64,1261,2.462891,6,2518,4.917969,12,0.982130255,-62229,-121.541016,0.991604532,39120,76.406250,127,-64738,-126.441406,64432,125.843750,64761,126.486328,0.015130735
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,5,1000,1,512,1261,2.462891,6,2518,4.917969,12,0.982130255,-520981,-1017.541016,0.991604532,316368,617.906250,1023,-523493,-1022.447266,520971,1017.521484,523513,1022.486328,0.110472630
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,5,1000,3,8,1472,2.875000,6,17520,34.218750,58,0.741195686,-4456,-8.703125,0.992523647,4371,8.537109,15,-7423,-14.498047,30827,60.208984,7421,14.494141,0.001756182
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,5,1000,3,64,1472,2.875000,6,17520,34.218750,58,0.741195686,-61800,-120.703125,0.992523647,39867,77.865234,127,-64751,-126.466797,201994,394.519531,64765,126.494141,0.015121453
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,5,1000,3,512,1472,2.875000,6,17520,34.218750,58,0.741195686,-520552,-1016.703125,0.992523647,320956,626.867188,1023,-523512,-1022.484375,1571383,3069.107422,523517,1022.494141,0.110406096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,5,1000,8,8,1785,3.486328,7,67744,132.312500,205,0.698418380,-3840,-7.500000,0.993243193,4561,8.908203,15,-7428,-14.507812,98314,192.019531,7430,14.511719,0.001757450
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,5,1000,8,64,1785,3.486328,7,67744,132.312500,205,0.698418380,-61184,-119.500000,0.993243193,40044,78.210938,127,-64777,-126.517578,554811,1083.615234,64774,126.511719,0.015116241
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,5,1000,8,512,1785,3.486328,7,67744,132.312500,205,0.698418380,-519936,-1015.500000,0.993243193,320938,626.832031,1023,-523544,-1022.546875,4206552,8215.921875,523526,1022.511719,0.110359770
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-2.0pct,2,100,1,8,2634,5.144531,14,5161,10.080078,26,0.994203093,-2142,-4.183594,0.998222666,7421,14.494141,22,-7427,-14.505859,7271,14.201172,7423,14.498047,0.001731588
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-2.0pct,2,100,1,64,2634,5.144531,14,5161,10.080078,26,0.994203093,-59486,-116.183594,0.998222666,65269,127.478516,190,-64798,-126.558594,63495,124.013672,64767,126.498047,0.014908981
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-2.0pct,2,100,1,512,2634,5.144531,14,5161,10.080078,26,0.994203093,-518238,-1012.183594,0.998222666,531058,1037.222656,1533,-523533,-1022.525391,513034,1002.019531,523519,1022.498047,0.109000331
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-2.0pct,2,100,3,8,3237,6.322266,14,35197,68.744141,122,0.758790530,-953,-1.861328,0.998264514,7474,14.597656,22,-7455,-14.560547,38015,74.248047,7411,14.474609,0.001726463
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-2.0pct,2,100,3,64,3237,6.322266,14,35197,68.744141,122,0.758790530,-58297,-113.861328,0.998264514,65860,128.632812,190,-64882,-126.722656,206706,403.722656,64755,126.474609,0.014886426
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-2.0pct,2,100,3,512,3237,6.322266,14,35197,68.744141,122,0.758790530,-517049,-1009.861328,0.998264514,536142,1047.152344,1533,-523604,-1022.664062,1555568,3038.218750,523507,1022.474609,0.108866909
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-2.0pct,2,100,8,8,3726,7.277344,15,133464,260.671875,397,0.719390535,16,0.031250,0.998212765,7563,14.771484,22,-7437,-14.525391,133339,260.427734,7424,14.500000,0.001727778
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-2.0pct,2,100,8,64,3726,7.277344,15,133464,260.671875,397,0.719390535,-57328,-111.968750,0.998212765,65865,128.642578,189,-64852,-126.664062,583127,1138.919922,64768,126.500000,0.014874861
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-2.0pct,2,100,8,512,3726,7.277344,15,133464,260.671875,397,0.719390535,-516080,-1007.968750,0.998212765,543862,1062.230469,1534,-523506,-1022.472656,4179601,8163.283203,523520,1022.500000,0.108773341
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,ge-short-1.089pct,11,1010,1,8,8071,15.763672,41,15922,31.097656,81,0.993301381,8707,17.005859,0.999811441,4380,8.554688,15,-7533,-14.712891,7349,14.353516,7423,14.498047,0.001747405
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,ge-short-1.089pct,11,1010,1,64,8071,15.763672,41,15922,31.097656,81,0.993301381,-48637,-94.994141,0.999811441,37695,73.623047,129,-65048,-127.046875,64021,125.041016,64767,126.498047,0.015043348
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,ge-short-1.089pct,11,1010,1,512,8071,15.763672,41,15922,31.097656,81,0.993301381,-507389,-990.994141,0.999811441,308012,601.585938,1026,-523831,-1023.107422,518090,1011.894531,523519,1022.498047,0.109888101
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,ge-short-1.089pct,11,1010,3,8,11731,22.912109,51,123875,241.943359,481,0.863893205,16038,31.324219,0.999861749,4614,9.011719,15,-7521,-14.689453,76359,149.138672,7422,14.496094,0.001739799
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,ge-short-1.089pct,11,1010,3,64,11731,22.912109,51,123875,241.943359,481,0.863893205,-41306,-80.675781,0.999861749,40018,78.160156,130,-64966,-126.886719,246530,481.503906,64766,126.496094,0.014980499
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,ge-short-1.089pct,11,1010,3,512,11731,22.912109,51,123875,241.943359,481,0.863893205,-500058,-976.675781,0.999861749,322900,630.664062,1027,-523711,-1022.873047,1608007,3140.638672,523518,1022.496094,0.109474361
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,ge-short-1.089pct,11,1010,8,8,14628,28.570312,58,480311,938.107422,1640,0.818357116,21834,42.644531,0.999876139,4853,9.478516,15,-7545,-14.736328,307804,601.179688,7412,14.476562,0.001732184
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,ge-short-1.089pct,11,1010,8,64,14628,28.570312,58,480311,938.107422,1640,0.818357116,-35510,-69.355469,0.999876139,42050,82.128906,133,-64939,-126.833984,761041,1486.408203,64756,126.476562,0.014933352
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,ge-short-1.089pct,11,1010,8,512,14628,28.570312,58,480311,938.107422,1640,0.818357116,-494262,-965.355469,0.999876139,338676,661.476562,1028,-523855,-1023.154297,4390148,8574.507812,523508,1022.476562,0.109175936
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,ge-long-1.089pct,11,1010,1,8,18881,36.876953,148,36580,71.445312,288,0.987839128,30369,59.314453,0.999991117,4140,8.085938,14,-7480,-14.609375,7372,14.398438,7424,14.500000,0.001746930
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,ge-long-1.089pct,11,1010,1,64,18881,36.876953,148,36580,71.445312,288,0.987839128,-26975,-52.685547,0.999991117,35443,69.224609,127,-64860,-126.679688,64237,125.462891,64768,126.500000,0.015037545
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,ge-long-1.089pct,11,1010,1,512,18881,36.876953,148,36580,71.445312,288,0.987839128,-485727,-948.685547,0.999991117,288831,564.123047,1023,-523330,-1022.128906,518464,1012.625000,523520,1022.500000,0.109848467
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,ge-long-1.089pct,11,1010,3,8,40147,78.412109,236,399570,780.410156,2183,0.945703699,72893,142.369141,0.999994113,4570,8.925781,15,-7601,-14.845703,183437,358.275391,7423,14.498047,0.001724607
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,ge-long-1.089pct,11,1010,3,64,40147,78.412109,236,399570,780.410156,2183,0.945703699,15549,30.369141,0.999994113,38774,75.730469,127,-65668,-128.257812,354192,691.781250,64767,126.498047,0.014849667
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,ge-long-1.089pct,11,1010,3,512,40147,78.412109,236,399570,780.410156,2183,0.945703699,-443203,-865.630859,0.999994113,316938,619.019531,1025,-524384,-1024.187500,1715147,3349.896484,523519,1022.498047,0.108607952
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,ge-long-1.089pct,11,1010,8,8,64818,126.597656,286,1944695,3798.232422,7803,0.909168576,122210,238.691406,0.999995487,5119,9.998047,15,-7636,-14.914062,978706,1911.535156,7429,14.509766,0.001701656
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,ge-long-1.089pct,11,1010,8,64,64818,126.597656,286,1944695,3798.232422,7803,0.909168576,64866,126.691406,0.999995487,42439,82.888672,127,-65944,-128.796875,1433215,2799.248047,64773,126.509766,0.014644287
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,ge-long-1.089pct,11,1010,8,512,64818,126.597656,286,1944695,3798.232422,7803,0.909168576,-393886,-769.308594,0.999995487,342277,668.509766,1040,-524843,-1025.083984,5060751,9884.279297,523525,1022.509766,0.107239235
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,none,0,1,1,8,0,0.000000,0,512,1.000000,1,,-5120,-10.000000,,0,0.000000,0,-5632,-11.000000,5632,11.000000,5632,11.000000,0.001340973
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,none,0,1,1,64,0,0.000000,0,512,1.000000,1,,-48128,-94.000000,,0,0.000000,0,-48640,-95.000000,48640,95.000000,48640,95.000000,0.011463738
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,none,0,1,1,512,0,0.000000,0,512,1.000000,1,,-392192,-766.000000,,0,0.000000,0,-392704,-767.000000,392704,767.000000,392704,767.000000,0.085612234
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,none,0,1,3,8,0,0.000000,0,1536,3.000000,3,,-5120,-10.000000,,0,0.000000,0,-5632,-11.000000,16896,33.000000,5632,11.000000,0.001340973
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,none,0,1,3,64,0,0.000000,0,1536,3.000000,3,,-48128,-94.000000,,0,0.000000,0,-48640,-95.000000,145920,285.000000,48640,95.000000,0.011463738
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,none,0,1,3,512,0,0.000000,0,1536,3.000000,3,,-392192,-766.000000,,0,0.000000,0,-392704,-767.000000,1178112,2301.000000,392704,767.000000,0.085612234
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,none,0,1,8,8,0,0.000000,0,4096,8.000000,8,,-5120,-10.000000,,0,0.000000,0,-5632,-11.000000,45056,88.000000,5632,11.000000,0.001340973
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,none,0,1,8,64,0,0.000000,0,4096,8.000000,8,,-48128,-94.000000,,0,0.000000,0,-48640,-95.000000,389120,760.000000,48640,95.000000,0.011463738
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,none,0,1,8,512,0,0.000000,0,4096,8.000000,8,,-392192,-766.000000,,0,0.000000,0,-392704,-767.000000,3141632,6136.000000,392704,767.000000,0.085612234
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,bec-0.5pct,5,1000,1,8,1760,3.437500,10,2727,5.326172,15,0.994072009,-2732,-5.335938,0.996111304,4344,8.484375,15,-5466,-10.675781,5445,10.634766,5471,10.685547,0.001296107
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,bec-0.5pct,5,1000,1,64,1760,3.437500,10,2727,5.326172,15,0.994072009,-45740,-89.335938,0.996111304,38760,75.703125,127,-48453,-94.634766,48229,94.197266,48479,94.685547,0.011369078
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,bec-0.5pct,5,1000,1,512,1760,3.437500,10,2727,5.326172,15,0.994072009,-389804,-761.335938,0.996111304,307305,600.205078,1024,-392528,-766.656250,390636,762.960938,392543,766.685547,0.085184066
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,bec-0.5pct,5,1000,3,8,2360,4.609375,12,19294,37.683594,73,0.864940355,-1788,-3.492188,0.996953196,4550,8.886719,15,-5442,-10.628906,24628,48.101562,5449,10.642578,0.001290067
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,bec-0.5pct,5,1000,3,64,2360,4.609375,12,19294,37.683594,73,0.864940355,-44796,-87.492188,0.996953196,39279,76.716797,128,-48446,-94.621094,153008,298.843750,48457,94.642578,0.011356701
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,bec-0.5pct,5,1000,3,512,2360,4.609375,12,19294,37.683594,73,0.864940355,-388860,-759.492188,0.996953196,314990,615.214844,1024,-392515,-766.630859,1180097,2304.876953,392521,766.642578,0.085129229
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,bec-0.5pct,5,1000,8,8,3192,6.234375,14,77447,151.263672,261,0.868931063,-497,-0.970703,0.998194902,4664,9.109375,15,-5473,-10.689453,81397,158.978516,5471,10.685547,0.001294697
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,bec-0.5pct,5,1000,8,64,3192,6.234375,14,77447,151.263672,261,0.868931063,-43505,-84.970703,0.998194902,41608,81.265625,128,-48459,-94.646484,423728,827.593750,48479,94.685547,0.011356835
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,bec-0.5pct,5,1000,8,512,3192,6.234375,14,77447,151.263672,261,0.868931063,-387569,-756.970703,0.998194902,328270,641.152344,1024,-392531,-766.662109,3162545,6176.845703,392543,766.685547,0.085099174
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,bec-2.0pct,2,100,1,8,3785,7.392578,20,5652,11.039062,30,0.997271731,298,0.582031,0.998950959,7495,14.638672,22,-5458,-10.660156,5347,10.443359,5466,10.675781,0.001275399
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,bec-2.0pct,2,100,1,64,3785,7.392578,20,5652,11.039062,30,0.997271731,-42710,-83.417969,0.998950959,65373,127.681641,189,-48482,-94.691406,47518,92.808594,48474,94.675781,0.011198219
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,bec-2.0pct,2,100,1,512,3785,7.392578,20,5652,11.039062,30,0.997271731,-386774,-755.417969,0.998950959,531134,1037.371094,1532,-392614,-766.824219,384574,751.121094,392538,766.675781,0.084005095
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,bec-2.0pct,2,100,3,8,4799,9.373047,23,37481,73.205078,146,0.861882286,1867,3.646484,0.999277508,7592,14.828125,22,-5471,-10.685547,31989,62.478516,5470,10.683594,0.001274824
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,bec-2.0pct,2,100,3,64,4799,9.373047,23,37481,73.205078,146,0.861882286,-41141,-80.353516,0.999277508,65818,128.550781,189,-48489,-94.705078,158380,309.335938,48478,94.683594,0.011186034
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,bec-2.0pct,2,100,3,512,4799,9.373047,23,37481,73.205078,146,0.861882286,-385205,-752.353516,0.999277508,532121,1039.298828,1532,-392656,-766.906250,1169789,2284.744141,392542,766.683594,0.083914849
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,bec-2.0pct,2,100,8,8,5868,11.460938,26,146478,286.089844,472,0.828709271,3518,6.871094,0.999358233,7665,14.970703,22,-5466,-10.675781,118868,232.164062,5453,10.650391,0.001269582
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,bec-2.0pct,2,100,8,64,5868,11.460938,26,146478,286.089844,472,0.828709271,-39490,-77.128906,0.999358233,66610,130.097656,190,-48421,-94.572266,455809,890.251953,48461,94.650391,0.011170965
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,bec-2.0pct,2,100,8,512,5868,11.460938,26,146478,286.089844,472,0.828709271,-383554,-749.128906,0.999358233,534206,1043.371094,1534,-392594,-766.785156,3153229,6158.650391,392525,766.650391,0.083833723
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,ge-short-1.089pct,11,1010,1,8,10011,19.552734,60,14914,29.128906,91,0.997816272,9604,18.757812,0.999875643,4353,8.501953,15,-5480,-10.703125,5417,10.580078,5465,10.673828,0.001287047
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,ge-short-1.089pct,11,1010,1,64,10011,19.552734,60,14914,29.128906,91,0.997816272,-33404,-65.242188,0.999875643,38716,75.617188,130,-48414,-94.558594,47953,93.658203,48473,94.673828,0.011301273
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,ge-short-1.089pct,11,1010,1,512,10011,19.552734,60,14914,29.128906,91,0.997816272,-377468,-737.242188,0.999875643,308862,603.246094,1026,-392477,-766.556641,387882,757.582031,392537,766.673828,0.084722160
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,ge-short-1.089pct,11,1010,3,8,15471,30.216797,82,123464,241.140625,491,0.850474155,17828,34.820312,0.999926904,4703,9.185547,15,-5519,-10.779297,70642,137.972656,5474,10.691406,0.001283699
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,ge-short-1.089pct,11,1010,3,64,15471,30.216797,82,123464,241.140625,491,0.850474155,-25180,-49.179688,0.999926904,41455,80.966797,133,-48384,-94.500000,198137,386.986328,48482,94.691406,0.011255911
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,ge-short-1.089pct,11,1010,3,512,15471,30.216797,82,123464,241.140625,491,0.850474155,-369244,-721.179688,0.999926904,329753,644.048828,1030,-392579,-766.755859,1218593,2380.064453,392546,766.691406,0.084394683
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,ge-short-1.089pct,11,1010,8,8,22349,43.650391,103,517721,1011.173828,1821,0.871653635,28208,55.093750,0.999963915,4903,9.576172,15,-5478,-10.699219,294556,575.304688,5465,10.673828,0.001277456
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,ge-short-1.089pct,11,1010,8,64,22349,43.650391,103,517721,1011.173828,1821,0.871653635,-14800,-28.906250,0.999963915,43643,85.240234,134,-48313,-94.361328,634738,1239.722656,48473,94.673828,0.011217896
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,ge-short-1.089pct,11,1010,8,512,22349,43.650391,103,517721,1011.173828,1821,0.871653635,-358864,-700.906250,0.999963915,349672,682.953125,1032,-392616,-766.828125,3356741,6556.134766,392537,766.673828,0.084143211
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,ge-long-1.089pct,11,1010,1,8,25805,50.400391,266,37547,73.333984,400,0.992466867,33307,65.052734,0.999995814,4332,8.460938,15,-5545,-10.830078,5432,10.609375,5474,10.691406,0.001289384
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,ge-long-1.089pct,11,1010,1,64,25805,50.400391,266,37547,73.333984,400,0.992466867,-9701,-18.947266,0.999995814,36144,70.593750,127,-48772,-95.257812,48185,94.111328,48482,94.691406,0.011305263
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,ge-long-1.089pct,11,1010,1,512,25805,50.400391,266,37547,73.333984,400,0.992466867,-353765,-690.947266,0.999995814,289502,565.433594,1024,-393155,-767.880859,387963,757.740234,392546,766.691406,0.084737234
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,ge-long-1.089pct,11,1010,3,8,54065,105.595703,360,383978,749.957031,2136,0.948810618,75691,147.833984,0.999997641,4694,9.167969,15,-5521,-10.783203,159897,312.298828,5459,10.662109,0.001271654
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,ge-long-1.089pct,11,1010,3,64,54065,105.595703,360,383978,749.957031,2136,0.948810618,32683,63.833984,0.999997641,39635,77.412109,128,-48761,-95.236328,287861,562.228516,48467,94.662109,0.011178216
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,ge-long-1.089pct,11,1010,3,512,54065,105.595703,360,383978,749.957031,2136,0.948810618,-311381,-608.166016,0.999997641,319822,624.652344,1024,-392923,-767.427734,1309721,2558.048828,392531,766.662109,0.083875794
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,ge-long-1.089pct,11,1010,8,8,95493,186.509766,546,2040275,3984.912109,9099,0.933043093,137857,269.251953,0.999998701,5048,9.859375,15,-5564,-10.867188,946971,1849.552734,5460,10.664062,0.001252318
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,ge-long-1.089pct,11,1010,8,64,95493,186.509766,546,2040275,3984.912109,9099,0.933043093,94849,185.251953,0.999998701,41763,81.568359,128,-49182,-96.058594,1288176,2515.968750,48468,94.664062,0.011008142
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-2to1,ge-long-1.089pct,11,1010,8,512,95493,186.509766,546,2040275,3984.912109,9099,0.933043093,-249215,-486.748047,0.999998701,347130,677.988281,1038,-393379,-768.318359,4015651,7843.068359,392532,766.664062,0.082690768
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-4to1,none,0,1,1,8,0,0.000000,0,0,0.000000,0,,-4608,-9.000000,,0,0.000000,0,-4608,-9.000000,4608,9.000000,4608,9.000000,0.001097427
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-4to1,none,0,1,1,64,0,0.000000,0,0,0.000000,0,,-40448,-79.000000,,0,0.000000,0,-40448,-79.000000,40448,79.000000,40448,79.000000,0.009551445
