schema_version,simulator_version,evidence_class,arm,profile,placement,utilization_percent,source_symbols,stripe_count,completion_budget_ns,estimated_completion_ns,estimated_payload_egress_nano_usd,candidate_tree_count,evaluated_assignment_count,tree0_relay_a,tree0_relay_b,tree1_relay_a,tree1_relay_b,tree0_stripes,tree1_stripes,tree0_source_symbols,tree1_source_symbols,stripe_tree_ids
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,Cloudcast POLICY on wansim transport,digitalocean-like,west-origin,30,8192,8,1000000000,201450515,124846,20,3460,nyc3,tor1,nyc3,fra1,0,8,0,8192,1;1;1;1;1;1;1;1
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,Cloudcast POLICY on wansim transport,digitalocean-like,west-origin,70,8192,8,1000000000,280717867,124846,20,3460,nyc3,tor1,nyc3,fra1,0,8,0,8192,1;1;1;1;1;1;1;1
