schema_version,simulator_version,evidence_class,utilization_percent,execution_variant,resource,total_flow_directions,foreground_flow_directions,background_flow_directions
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,30,per-stripe-fec,nic:sfo3,32,16,16
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,30,per-stripe-fec,nic:sgp1,8,8,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,30,per-stripe-fec,nic:tor1,14,6,8
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,30,per-stripe-fec,trunk:ap-to-eu,2,2,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,30,per-stripe-fec,trunk:ap-to-na-west,2,2,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,30,per-stripe-fec,trunk:eu-to-ap,2,2,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,30,per-stripe-fec,trunk:eu-to-na-east,2,2,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,30,per-stripe-fec,trunk:eu-to-na-west,2,2,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,30,per-stripe-fec,trunk:na-east-to-eu,2,2,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,30,per-stripe-fec,trunk:na-east-to-na-west,12,4,8
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,30,per-stripe-fec,trunk:na-west-to-ap,2,2,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,30,per-stripe-fec,trunk:na-west-to-eu,2,2,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,30,per-stripe-fec,trunk:na-west-to-na-east,12,4,8
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,70,Cloudcast POLICY on wansim transport,nic:fra1,12,12,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,70,Cloudcast POLICY on wansim transport,nic:lon1,0,0,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,70,Cloudcast POLICY on wansim transport,nic:nyc3,24,16,8
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,70,Cloudcast POLICY on wansim transport,nic:sfo3,32,16,16
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,70,Cloudcast POLICY on wansim transport,nic:sgp1,8,8,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,70,Cloudcast POLICY on wansim transport,nic:tor1,14,6,8
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,70,Cloudcast POLICY on wansim transport,trunk:ap-to-eu,1,1,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,70,Cloudcast POLICY on wansim transport,trunk:ap-to-na-west,3,3,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,70,Cloudcast POLICY on wansim transport,trunk:eu-to-ap,1,1,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,70,Cloudcast POLICY on wansim transport,trunk:eu-to-na-east,2,2,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,70,Cloudcast POLICY on wansim transport,trunk:eu-to-na-west,2,2,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,70,Cloudcast POLICY on wansim transport,trunk:na-east-to-eu,2,2,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,70,Cloudcast POLICY on wansim transport,trunk:na-east-to-na-west,13,5,8
