schema_version,simulator_version,evidence_class,profile,placement,utilization_percent,jitter,source_symbols,seed,arm,execution_variant,barrier_completion_ns,sender_completion_ns,modeled_egress_nano_usd,foreground_egress_wire_bytes,total_emissions,application_drops,link_drops,maximum_mailbox_high_water
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,6,pooled-FEC carousel on wansim transport,carousel,1698419929,1760263513,1577904,181058282,102374,0,535,32864
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,6,per-stripe FEC on wansim transport,per-stripe-fec,1728409114,1782319984,1577786,181046458,101350,0,537,32864
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,6,best-single tree on wansim transport,best-single-tree1,1839872062,1893477833,1283049,128305055,77822,0,0,25503
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,7,Cloudcast POLICY on wansim transport,Cloudcast POLICY on wansim transport,1863848980,1915357377,155329,25887804,8192,0,0,10345
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,7,pooled-FEC carousel on wansim transport,carousel,1712542997,1772994901,1897221,236138443,151548,0,0,44325
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,7,per-stripe FEC on wansim transport,per-stripe-fec,1741462344,1795341489,1897118,236128071,149602,0,0,44320
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,7,best-single tree on wansim transport,best-single-tree1,1858848155,1910357535,1454510,145451084,77822,0,0,24827
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,8,Cloudcast POLICY on wansim transport,Cloudcast POLICY on wansim transport,1874550932,1928812996,155329,25887804,8192,0,0,10481
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,8,pooled-FEC carousel on wansim transport,carousel,1725267928,1786960513,1629963,194473158,113292,0,759,41446
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,8,per-stripe FEC on wansim transport,per-stripe-fec,1750643928,1804131691,1789081,212973676,112268,0,759,41435
